codi previ;data;N oleo;lot oleo ASM;lot oleo proveïdor;proveïdor;sac;xantofiles oleo formulació;canvi color;temps total reacció;Tª inici reacció;Tª màxima;kg previ teòrics;kg previ;% pèrdua kg previ segons teòric;kg aigua neteja;kg carbonat rebuig;kg oleo;Rendiment;Rendiment (XT proveidor);Promig % pèrdua escalfament;kg teòrics final;kg final;% pèrdua final;xantofiles final;xantofilia objectiu;xandofilia desviació
34825;14/2/23;1;7588-1;HLY:2022-08-02;BH;1;182,91;55;85;69;88;35,49;32,83;7;5,4;5,9;10,0;100;89;12,51;40;38,2;4;21;20,3;5,22875817
34832;15/2/23;1;7588-1;HLY:2022-08-02;BH;2;182,91;55;85;68;89;36,3;34,27;6;5,1;4,9;10,3;105;91;;40;38,68;3;21;20,3;1,884968584
34867;20/2/23;2;7588-2;HKY:2022-08-06;BH;1;187,69;50;80;70;92;36,67;34,57;6;6,0;5,0;10,4;98;90;8,03;40;37,91;5;20;20,3;0,392541708
34880;21/2/23;2;7588-2;HKY:2022-08-06;BH;2;187,69;50;80;73;91;35,86;33,69;6;5,9;4,6;10,1;98;90;;40;38,59;4;21;20,3;5,449464369
34903;24/2/23;3;7590-1;QZY:2022-08-01;BH;1;172,7;50;80;73;88;35,59;33,7;5;5,4;5,1;10,0;102;93;8,67;40;38,81;3;20;20,3;0,392541708
34908;27/2/23;3;7590-1;QZY:2022-08-01;BH;2;172,7;50;80;68;87;35,62;32,65;8;5,6;5,9;10,1;100;91;;40;37,9;5;20;20,3;-1,958814666
34928;2/3/23;4;7585-1;1-0220-220810D;CG;1;175,96;40;70;68;90;34,62;32,45;6;5,9;5,1;9,7;97;96;1,78;40;38,4;4;20;20,3;-0,94480358
34938;3/3/23;4;7585-1;1-0220-220810D;CG;2;175,96;40;70;68;90;34,54;32,52;6;5,2;5,2;9,7;100;96;;40;38,43;4;20;20,3;-1,196410768
34980;8/3/23;5;7585-2;1-0220-220811;CG;1;174,04;50;80;72;91;35,25;32,98;6;5,2;5,0;9,9;103;97;4,73;40;38,27;4;21;20,3;1,312591152
34982;9/3/23;5;7585-2;1-0220-220811;CG;2;174,04;50;80;72;92;34,71;32,89;5;5,5;5,1;9,7;96;94;;40;38,28;4;21;20,3;1,884968584
35026;14/3/23;6;7591-2;1-0220-220816;CG;1;165,04;50;80;73;91;37,01;34,23;8;5,8;5,1;10,5;98;90;7,54;40;38,8;3;20;20,3;-0,197433366
35028;15/3/23;6;7591-2;1-0220-220816;CG;2;165,04;55;85;73;94;34,47;31,63;8;5,8;5,1;9,7;97;90;;40;38,74;3;20;20,3;0,782013685
35081;20/3/23;7;7591-1;1-0220-220817;CG;1;175,59;50;80;69;91;35,65;33,07;7;6,1;4,4;10,1;101;93;8,36;40;38,75;3;20;20,3;-0,098619329
35083;21/3/23;7;7591-1;1-0220-220817;CG;2;175,59;50;80;74;93;36,84;34,33;7;5,7;5,2;10,5;99;91;;40;38,27;4;21;20,3;5,405405405
35165;24/3/23;8;7617-1;HKY:2022-09-06;BH;1;177,36;70;95;71;93;34,07;31,94;6;5,6;5,6;9,5;102;94;6,81;40;38,13;5;20;20,3;0,392541708
