NR;Lot ASM;Lot;Productor;XT oleo proveidor;XT oleo reacció;Pèrdua escalfament oleo;Clorofil·les;Ferro;Coure;Acidesa (%oleic);alfa_Tocoferols (mg/g);beta_Tocoferols (mg/g);gamma_Tocoferols (mg/g);delta_Tocoferols (mg/g);TOTAL_Tocoferols (mg/g);2,4-HEPTADIENAL_volàtils (àrea/pes);2-METHYLFURAN_volàtils (àrea/pes);2-PENTYLFURAN_volàtils (àrea/pes);HEXANAL_volàtils (àrea/pes);2-HEPTANONE_volàtils (àrea/pes);6M5H2ONE_volàtils (àrea/pes);6M3,5H2ONE_volàtils (àrea/pes);TDN_volàtils (àrea/pes);ETHANONE_volàtils (àrea/pes);2,6-DIMETHYLNAPHTALENE_volàtils (àrea/pes);2,6-DIMETHYLNAPHTALENE_volàtils (àrea/pes);TOLUENE_volàtils (àrea/pes);M-XYLENE_volàtils (àrea/pes);total productes ox AGPI_volàtils (àrea/pes);total oxidació carotenoides_volàtils (àrea/pes);total termoox carotenoides_volàtils (àrea/pes);C 8:0 Àcids grassos (%);C 10:0 Àcids grassos (%);C 12:0 Àcids grassos (%);C 14:0 Àcids grassos (%);C 15:0 Àcids grassos (%);C 15:1 Àcids grassos (%);C 16:0 Àcids grassos (%);C 16:1n7 Àcids grassos (%);C 17:0 Àcids grassos (%);C 18:0 Àcids grassos (%);C 18:1n9 Àcids grassos (%);C 18:1n7 Àcids grassos (%);C 18:2n6 Àcids grassos (%);C 20:0 Àcids grassos (%);C 18:3n3 Àcids grassos (%);C 21:0 Àcids grassos (%);C 20:2n6 Àcids grassos (%);C 22:0 Àcids grassos (%);C 20:3n3 Àcids grassos (%);C 20:4n6 Àcids grassos (%);C 23:0 Àcids grassos (%);C 24:0 Àcids grassos (%);C 24:1 Àcids grassos (%);MUFA Àcids grassos (%);PUFA Àcids grassos (%);SFA Àcids grassos (%);Polifenols;Previ 7;Final 7;Previ 42;Final 42;XT caract;TOTAL HPLC;lut HPLC
1;7588-1;HLY:2022-08-02;BH;182,91;163,07;10,85;28;23;0,8;12;37,580;4,366;3,699;0,780;46;509790,7959;865816,0233;637944,7406;99628,46365;2186577,04;871734,7335;1035220,588;289278,504;915575,4671;0;25154,23921;7323489,21;2166336,252;4299757;1906955;10719834;0,339820705;0,110783191;1,54580794;14,16684355;0,120514404;0,085361143;39,69035018;0,112648842;0,199578015;11,7595688;2,116137649;0,262960189;16,73261151;0,618489413;9,999999687;0,047599826;0,075264672;0,551649885;0,044059358;0,189009488;0,127840107;0,847990754;0,255110705;2,8;27;70;0,4;61;60;34;31;163,2540186;213,1249774;166,0644272
2;7588-2;HKY:2022-08-06;BH;187,69;171,70;8,52;32;25;0,5;12;40,436;4,359;4,371;0,942;50;376942,0967;640626,7592;957630,4616;85760,36255;2506697,207;1051595,573;1310622,192;247004,0388;1048338;0;34517,08273;6241152,865;2422734,182;4567657;2362218;9993746;0,341298215;0,10968482;1,474948173;13,82401408;0,113258952;0,093743928;39,5635548;0,122526028;0,191816024;11,38110073;2,166755825;0,247621953;17,2424044;0,62871223;10,34152863;0,04752402;0,077961305;0,591901334;0,055591652;0,168942819;0,133361125;0,836415758;0,245333193;2,9;28;69;0,5;66;71;43;39;165,3579627;216,8221398;165,8677134
3;7590-1;QZY:2022-08-01;BH;172,70;157,42;8,85;25;32;0,8;14;38,300;4,448;3,727;0,899;47;332926,7445;210482,542;305131,6808;21211,44116;462465,368;374423,2568;952772,8114;194286,8596;916009,4757;10934,14099;20873,35549;1313524,692;317375,9846;1332218;1327196;2773005;0,205679399;0,131888628;1,525569529;13,51471412;0,122532601;0,169655026;38,6748594;0,120146134;0,199175936;11,70191945;2,698958354;0,25766506;18,22298132;0,65207488;9,5382478;0,049402814;0,090070909;0,556307921;0,04669615;0,216959809;0,156590177;0,874597162;0,273307426;3,5;28;68;0,4;70;70;42;40;154,7084682;198,3534095;149,8826111
4;7585-1;1-0220-220810D;CG;175,96;171,09;2,77;66;36;1,3;12;31,161;3,200;5,100;1,277;41;182073,0641;809456,8156;1305896,568;0;491105,5334;389568,5259;674774,7663;1674568,989;1342026,858;181786,7162;170624,0166;12523130,64;7990656,283;2788532;1064343;23882794;0,372578105;0,11912203;1,514993117;13,84483089;0,111198333;0,099228978;39,79039394;0,156734704;0,171578447;12,19576607;2,530932997;0,256758264;16,2891023;0,622621443;9,806116382;0,038560921;0,085300803;0,626977723;0,049826085;0,126476649;0,125232667;0,86861922;0,19704992;3,2;26;70;2,1;66;70;37;36;166,4561166;216,3425642;168,8917767
5;7585-2;1-0220-220811;CG;174,04;166,63;5,07;68;38;1,5;10;32,470;3,376;5,181;1,317;42;220689,8022;882198,4337;1177976,406;0;469648,4452;420271,5565;835492,8348;2396781,171;1669695,988;322058,0978;290938,9567;12026477,35;7420039,008;2750513;1255764;24125991;0,205054508;0,117220633;1,514427188;13,83576888;0,107831022;0,236331016;39,77545441;0,155224794;0,167273006;12,12612807;2,723809143;0,259073616;16,33421745;0,619346232;9,81967487;0,043947333;0,082711756;0,584691127;0,044257208;0,141037647;0,129280809;0,784589532;0,19264975;3,6;26;70;2,2;67;69;35;36;169,3374849;215,979519;174,3519306
6;7591-2;1-0220-220816;CG;165,04;153,41;7,05;33;15;1,4;11;34,449;3,914;3,495;0,777;43;392437,5934;504825,876;661803,4143;0;503933,0366;352572,9246;769668,1391;1672795,856;1285071,503;253684,0453;437404,7599;5220893,478;2922256,364;2063000;1122241;11792106;0,231159962;0,105988052;1,472207769;13,4864653;0,121635015;0,156672796;38,67212412;0,116594293;0,205466876;12,03018372;2,637763471;0,271749485;17,51972347;0,734086425;9,81066141;0,044848548;0,085285789;0,669741976;0,052869198;0,19413027;0,152853156;0,951381509;0,276407392;3,5;28;69;1,4;70;73;43;38;152,2624762;196,89733;154,8950713
7;7591-1;1-0220-220817;CG;175,59;161,19;8,20;37;13;1,1;12;34,236;3,581;3,195;0,590;42;182738,8595;348118,2473;390561,8238;0;300701,7735;259743,4467;811893,8124;713475,6954;664712,6492;100658,8437;146081,9345;2598331,98;1134386,559;1222121;1071637;5357648;0,216978575;0,123569109;1,59603537;14,71779853;0,127720159;0,173321096;40,01725149;0,148286384;0,215886334;11,93613787;2,132271282;0,268556642;15,14072023;0,702040831;10,03777961;0,058185099;0,080380454;0,742382087;0,052098485;0,182810352;0,157570362;0,928238828;0,243980829;3,0;25;72;1,4;69;67;43;36;156,0252238;202,5594505;154,8229617
8;7617-1;HKY:2022-09-06;BH;177,36;164,97;6,98;29;15;0,7;13;35,275;3,397;2,992;0,539;42;409424,8155;216990,2489;339932,8551;0;475790,3727;447960,0616;860607,9542;208054,0797;895132,6933;114923,5093;99653,59215;2440472,571;837935,8244;1442138;1308568;4596172;0,19591036;0,086759509;1,37035363;13,63587225;0,128922142;0,164560032;38,65624712;0,113039816;0,208148006;11,29057207;2,523759467;0,252717962;17,62207277;0,70158864;10,38276712;0,052507996;0,089031039;0,848082695;0,051662562;0,184274239;0,164059379;1,070594232;0,20649697;3,3;28;68;0,4;60;65;36;31;159,1506763;207,539162;158,8297089
9;7617-2;QZY:2022-09-33;BH;176,61;162,86;7,78;27;13;0,7;13;35,443;4,193;3,756;0,882;44;328998,1687;202573,9588;240576,5875;24735,22833;550550,3338;363157,6552;846159,1622;242937,8605;928019,1422;56216,75308;56798,62354;2687499,853;686248,2371;1347434;1209317;4657720;0,202830032;0,106263711;1,425077106;13,38205039;0,117822309;0,153259109;38,57585266;0,113202105;0,203543123;11,8423859;2,873617108;0,264715653;17,81083935;0,723623553;9,860842133;0,051809117;0,085226446;0,697896164;0,045976979;0,169157274;0,154767493;0,91592671;0,223315568;3,6;28;68;0,4;67;58;37;31;156,3911247;203,098911;153,1213693
10;7629-2;HKY:2022-10-11;BH;162,83;149,00;8,49;23;22;1,4;13;36,437;4,301;3,571;0,861;45;388042,3549;945104,2909;1686951,617;129381,0328;1029621,257;2028658,375;2194021,034;529009,681;1465925,065;0;49302,72778;4748384,694;1617695,253;4179101;4222679;8410317;0,311341641;0,139834539;1,493960738;13,04743538;0,134672305;0,093638313;38,85332999;0,12619315;0,202293924;11,6025293;3,173967572;0,373785348;18,92903302;0,69521573;8,412909772;0,051523878;0,087597135;0,5819864;0,039740368;0,226103608;0,159981869;0,952452065;0,310473958;4,1;28;68;0,5;73;71;38;37;142,6143248;189,5858625;143,7918975
