NR;Lot ASM;Lot;Productor;Origen;Extracció;XT oleo proveidor;XT oleo reacció;Pèrdua escalfament oleo;Clorofil·les;Ferro;Coure;Acidesa (%oleic);alfa;beta;gamma;delta;TOTAL;2,4-HEPTADIENAL;2-METHYLFURAN;2-PENTYLFURAN;HEXANAL;2-HEPTANONE;6M5H2ONE;6M3,5H2ONE;TDN;ETHANONE;2,6-DIMETHYLNAPHTALENE;2,6-DIMETHYLNAPHTALENE;TOLUENE;M-XYLENE;total productes ox AGPI;total oxidació carotenoides;total termoox carotenoides;C 8:0;C 10:0;C 12:0;C 14:0;C 15:0;C 15:1;C 16:0;C 16:1n7;C 17:0;C 18:0;C 18:1n9;C 18:1n7;C 18:2n6;C 20:0;C 18:3n3;C 21:0;C 20:2n6;C 22:0;C 20:3n3;C 20:4n6;C 23:0;C 24:0;C 24:1;MUFA;PUFA;SFA;Polifenols;Previ 7;Final 7;Previ 42;Final 42;XT caract;TOTAL HPLC;lut HPLC
1;7588-1;HLY:2022-08-02;BH;HLY;B;182,91;163,07;10,84686458;27,63;22,85335255;0,806629042;12,19021607;37,58025311;4,365834107;3,699440058;0,779702446;46,42522972;509790,7959;865816,0233;637944,7406;99628,46365;2186577,04;871734,7335;1035220,588;289278,504;915575,4671;0;25154,23921;7323489,21;2166336,252;4299757,063;1906955,321;10719833,67;0,339820705;0,110783191;1,54580794;14,16684355;0,120514404;0,085361143;39,69035018;0,112648842;0,199578015;11,7595688;2,116137649;0,262960189;16,73261151;0,618489413;9,999999687;0,047599826;0,075264672;0,551649885;0,044059358;0,189009488;0,127840107;0,847990754;0,255110705;2,832218529;27,04094471;70,12683676;0,416052369;60,96311669;59,9069492;34,37746753;31,33283374;163,2540186;213,1249774;166,0644272
2;7588-2;HKY:2022-08-06;BH;HKY;B;187,69;171,6975;8,520699025;31,84;24,58464458;0,541943985;12,35036508;40,43570427;4,358993825;4,370547589;0,942043114;50,10728879;376942,0967;640626,7592;957630,4616;85760,36255;2506697,207;1051595,573;1310622,192;247004,0388;1048338;0;34517,08273;6241152,865;2422734,182;4567656,887;2362217,765;9993746,169;0,341298215;0,10968482;1,474948173;13,82401408;0,113258952;0,093743928;39,5635548;0,122526028;0,191816024;11,38110073;2,166755825;0,247621953;17,2424044;0,62871223;10,34152863;0,04752402;0,077961305;0,591901334;0,055591652;0,168942819;0,133361125;0,836415758;0,245333193;2,875980928;27,88642881;69,23759027;0,504396409;66,02993265;70,73292128;42,8934722;38,90025666;165,3579627;216,8221398;165,8677134
3;7590-1;QZY:2022-08-01;BH;QZY;B;172,7;157,4175;8,849160394;25,07;32,06371455;0,754202665;14,30160825;38,30015537;4,447664904;3,727247284;0,89899168;47,37405924;332926,7445;210482,542;305131,6808;21211,44116;462465,368;374423,2568;952772,8114;194286,8596;916009,4757;10934,14099;20873,35549;1313524,692;317375,9846;1332217,776;1327196,068;2773004,508;0,205679399;0,131888628;1,525569529;13,51471412;0,122532601;0,169655026;38,6748594;0,120146134;0,199175936;11,70191945;2,698958354;0,25766506;18,22298132;0,65207488;9,5382478;0,049402814;0,090070909;0,556307921;0,04669615;0,216959809;0,156590177;0,874597162;0,273307426;3,519732;28,11495598;68,36531202;0,357290847;70,40459706;69,88307084;42,40799245;39,86793434;154,7084682;198,3534095;149,8826111
4;7585-1;1-0220-220810D;CG;X;H;175,96;171,09;2,767674471;66,08;36,45703872;1,326536975;11,58938906;31,16060855;3,200461343;5,099809049;1,277283767;40,73816271;182073,0641;809456,8156;1305896,568;0;491105,5334;389568,5259;674774,7663;1674568,989;1342026,858;181786,7162;170624,0166;12523130,64;7990656,283;2788531,981;1064343,292;23882793,5;0,372578105;0,11912203;1,514993117;13,84483089;0,111198333;0,099228978;39,79039394;0,156734704;0,171578447;12,19576607;2,530932997;0,256758264;16,2891023;0,622621443;9,806116382;0,038560921;0,085300803;0,626977723;0,049826085;0,126476649;0,125232667;0,86861922;0,19704992;3,240704863;26,35682222;70,40247292;2,109901799;66,10213912;69,91112926;37,22011325;35,97949871;166,4561166;216,3425642;168,8917767
5;7585-2;1-0220-220811;CG;X;H;174,04;166,63;5,073546311;67,58;38,46187782;1,491633781;9,67355233;32,47003588;3,375741437;5,181267366;1,316902313;42,343947;220689,8022;882198,4337;1177976,406;0;469648,4452;420271,5565;835492,8348;2396781,171;1669695,988;322058,0978;290938,9567;12026477,35;7420039,008;2750513,087;1255764,391;24125990,57;0,205054508;0,117220633;1,514427188;13,83576888;0,107831022;0,236331016;39,77545441;0,155224794;0,167273006;12,12612807;2,723809143;0,259073616;16,33421745;0,619346232;9,81967487;0,043947333;0,082711756;0,584691127;0,044257208;0,141037647;0,129280809;0,784589532;0,19264975;3,567088319;26,42189893;70,01101275;2,163700528;67,10987824;68,92296626;34,81269161;35,52922998;169,3374849;215,979519;174,3519306
6;7591-2;1-0220-220816;CG;X;H;165,04;153,4125;7,045261755;32,88;15,08692695;1,37999764;11,16911915;34,44884016;3,913980654;3,495476013;0,776557126;42,63485395;392437,5934;504825,876;661803,4143;0;503933,0366;352572,9246;769668,1391;1672795,856;1285071,503;253684,0453;437404,7599;5220893,478;2922256,364;2062999,92;1122241,064;11792106,01;0,231159962;0,105988052;1,472207769;13,4864653;0,121635015;0,156672796;38,67212412;0,116594293;0,205466876;12,03018372;2,637763471;0,271749485;17,51972347;0,734086425;9,81066141;0,044848548;0,085285789;0,669741976;0,052869198;0,19413027;0,152853156;0,951381509;0,276407392;3,459187437;27,66267013;68,87814243;1,354926525;70,46666357;73,32180854;42,52798016;37,93511168;152,2624762;196,89733;154,8950713
7;7591-1;1-0220-220817;CG;X;H;175,59;161,185;8,203770146;36,94;13,46870976;1,073047742;11,86035088;34,23612584;3,580940276;3,194921635;0,589990838;41,60197858;182738,8595;348118,2473;390561,8238;0;300701,7735;259743,4467;811893,8124;713475,6954;664712,6492;100658,8437;146081,9345;2598331,98;1134386,559;1222120,704;1071637,259;5357647,662;0,216978575;0,123569109;1,59603537;14,71779853;0,127720159;0,173321096;40,01725149;0,148286384;0,215886334;11,93613787;2,132271282;0,268556642;15,14072023;0,702040831;10,03777961;0,058185099;0,080380454;0,742382087;0,052098485;0,182810352;0,157570362;0,928238828;0,243980829;2,966416233;25,49378913;71,53979464;1,379110721;68,67644194;66,97501063;42,85599163;36,16292522;156,0252238;202,5594505;154,8229617
8;7617-1;HKY:2022-09-06;BH;HKY;B;177,36;164,9725;6,984382048;29,14;14,97413483;0,717120321;13,13465209;35,27459856;3,397071769;2,992174148;0,539437649;42,20328213;409424,8155;216990,2489;339932,8551;0;475790,3727;447960,0616;860607,9542;208054,0797;895132,6933;114923,5093;99653,59215;2440472,571;837935,8244;1442138,292;1308568,016;4596172,27;0,19591036;0,086759509;1,37035363;13,63587225;0,128922142;0,164560032;38,65624712;0,113039816;0,208148006;11,29057207;2,523759467;0,252717962;17,62207277;0,70158864;10,38276712;0,052507996;0,089031039;0,848082695;0,051662562;0,184274239;0,164059379;1,070594232;0,20649697;3,260574249;28,32980773;68,40961802;0,443506411;60,48912903;64,60622599;36,44808821;31,15042945;159,1506763;207,539162;158,8297089
9;7617-2;QZY:2022-09-33;BH;QZY;B;176,61;162,8625;7,784100561;27,36;12,99813061;0,707999812;12,98413354;35,44349071;4,192543154;3,755981782;0,882270665;44,27428631;328998,1687;202573,9588;240576,5875;24735,22833;550550,3338;363157,6552;846159,1622;242937,8605;928019,1422;56216,75308;56798,62354;2687499,853;686248,2371;1347434,277;1209316,817;4657720,47;0,202830032;0,106263711;1,425077106;13,38205039;0,117822309;0,153259109;38,57585266;0,113202105;0,203543123;11,8423859;2,873617108;0,264715653;17,81083935;0,723623553;9,860842133;0,051809117;0,085226446;0,697896164;0,045976979;0,169157274;0,154767493;0,91592671;0,223315568;3,628109543;27,97204219;68,39984827;0,397470076;66,92650937;58,32627617;36,50299273;30,9999783;156,3911247;203,098911;153,1213693
10;7629-2;HKY:2022-10-11;BH;HKY;B;162,83;149,0025;8,491985506;22,9;22,2890152;1,366623447;13,1862196;36,43707061;4,301087395;3,57079231;0,861047503;45,16999782;388042,3549;945104,2909;1686951,617;129381,0328;1029621,257;2028658,375;2194021,034;529009,681;1465925,065;0;49302,72778;4748384,694;1617695,253;4179100,553;4222679,408;8410317,421;0,311341641;0,139834539;1,493960738;13,04743538;0,134672305;0,093638313;38,85332999;0,12619315;0,202293924;11,6025293;3,173967572;0,373785348;18,92903302;0,69521573;8,412909772;0,051523878;0,087597135;0,5819864;0,039740368;0,226103608;0,159981869;0,952452065;0,310473958;4,078058341;27,6953839;68,22655776;0,457518481;73,44476171;71,02767597;38,18955855;36,71098685;142,6143248;189,5858625;143,7918975
