NR;Lot;Mida lot;Productor;Origen;Temps d'ensilatge (dies);Extracció;Data producció;Data caducitat;Data enviament;Data arribada (estimada);Doc enviament;Bidons reservats;Nº BIDÓ 1;Nº BIDÓ 2;Nº BIDÓ 3;Nº BIDÓ 4;Dioxines (ng/kg);dl-PCB (ng/kg);ndl-PCB (µg/kg);Benzè (mg/kg);Xantofil·les prod;Lot ASM;Xantofil·les ASM;% Luteina;% Zeaxantina;% Epòxids
16;HKY:2022-08-01;4000;BH;HKY;13-20;Butà;;jul-24;11/8/22;16/9/22;BH1;2;757019;757020;;;0,29;0,25;1,7;0,803;182,8;7570-1;184,62;85,05;4,45;4,61
17;HKY:2022-08-03;6000;BH;HKY;13-20;Butà;;jul-24;27/8/22;6/10/22;BH2;2;758153;718154;;;0,31;0,14;1,7;0,306;189,37;7581-2;191,63;86,98;4,66;4,3
18;HKY:2022-08-04;8000;BH;HKY;13-20;Butà;;jul-24;27/8/22;4/10/22;BH2;2;757934;757936;;;0,35;0,14;1,7;0,071;184,06;7579-1;186,78;86,18;4,99;4,41
19;HKY:2022-08-05;8000;BH;HKY;13-20;Butà;;jul-24;27/8/22;4/10/22;BH2;4;757945;757946;757947;757948;0,23;0,14;1,7;0,104;186,39;7579-2;186,73;;;
1;HLY:2022-08-02;8000;BH;HLY;13-20;Butà;;jul-24;5/9/22;20/10/22;BH3;2;758838;758840;;;0,35;0,14;1,7;0,03;182,91;7588-1;182,75;86,64;4,72;4,97
2;HKY:2022-08-06;8000;BH;HKY;13-20;Butà;;jul-24;5/9/22;20/10/22;BH3;2;758870;758872;;;0,34;0,14;1,7;0,14;187,69;7588-2;188,1;84,01;4,54;4,47
3;QZY:2022-08-01;8000;BH;QZY;13-20;Butà;;jul-24;5/9/22;20/10/22;BH3;2;759038;759040;;;1,32;0,34;1,7;2,23;172,7;7590-1;173,81;85,72;4,57;4,48
20;QZY:2022-08-02;8000;BH;QZY;13-20;Butà;;jul-24;5/9/22;20/10/22;BH3;2;759049;759050;;;1,51;0,14;0,7;0,956;176,96;7590-2;177,73;85,79;4,48;4,81
21;QZY:2022-09-03;8000;BH;QZY;13-20;Butà;;ago-24;19/9/22;4/11/22;BH4;2;759937;759938;;;1,87;0,39;1,7;0,093;180,33;7599-1;180,85;86,85;4,42;4,89
22;QZY:2022-09-04;8000;BH;QZY;13-20;Butà;;ago-24;19/9/22;4/11/22;BH4;2;759942;759944;;;1,39;0,38;1,7;0,03;179,26;7599-2;183,97;85,03;4,28;4,76
23;HKY:2022-08-38;4000;BH;HKY;13-20;Butà;;jul-24;19/9/22;4/11/22;BH4;2;759777;759779;;;0,31;0,14;1,7;0,142;173,53;7597-2;173,94;85,92;4,38;5,51
24;HKY:2022-09-01;8000;BH;HKY;13-20;Butà;;ago-24;26/9/22;10/11/22;BH5;2;760139;760140;;;0,51;0,14;1,7;0,164;172,63;7601-1;171,03;;;
25;HKY:2022-09-02;8000;BH;HKY;13-20;Butà;;ago-24;26/9/22;10/11/22;BH5;2;760167;760168;;;0,28;0,14;1,7;0,085;175,8;7601-2;;;;
4;1-0220-220810D;8000;CG;X;14;Hexà;10/8/22;9/8/24;30/8/22;29/9/22;CG1;2;758533;758534;;;0,6;0,25;1,7;0;175,96;7585-1;175,8;82,53;4,96;5,55
5;1-0220-220811;8000;CG;X;14;Hexà;11/8/22;10/8/24;30/8/22;29/9/22;CG1;2;758561;758562;;;0,42;0,14;1,7;0;174,04;7585-2;172,21;82,6;5,49;5,43
6;1-0220-220816;8000;CG;X;14;Hexà;16/8/22;15/8/24;12/9/22;14/10/22;CG2;2;759142;759144;;;0,65;0,15;1,7;0;165,04;7591-2;167,06;83,01;4,55;6,76
7;1-0220-220817;8000;CG;X;14;Hexà;17/8/22;16/8/24;12/9/22;14/10/22;CG2;2;759121;759124;;;0,62;0,14;1,7;0;175,59;7591-1;181,32;85,09;4,52;5,81
26;1-0220-220819;8000;CG;X;14;Hexà;19/8/22;18/8/24;22/9/22;24/10/22;CG3;2;760039;760040;;;0,63;0,14;1,7;0;162,94;7600-1;167,72;82,08;5,06;5,7
27;1-0220-220819C;8000;CG;X;14;Hexà;19/8/22;18/8/22;22/9/22;24/10/22;CG3;2;760055;760056;;;1,34;0,23;1,7;0;160,83;7600-2;167,24;81,35;4,56;5,94
28;1-0220-220825;8000;CG;X;14;Hexà;25/8/22;24/8/24;2/10/22;4/11/22;CG4;2;761933;761934;;;0,64;0,14;1,7;0;161,74;7619-1;163,73;81,46;4,8;5,74
29;1-0220-220906;8000;CG;X;14;Hexà;6/9/22;5/9/24;2/10/22;4/11/22;CG4;2;761941;761942;;;1,08;0,15;5,2;0;159,6;7619-2;165,39;83,93;4,87;5,06
32;HKY:2022-09-55;8000;BH;HKY;13-20;Butà;;ago-24;8/10/22;16/11/22;BH6;2;761402;761404;761403;;0,17;0,22;1,7;0;178,14;7614-1;;;;
33;QZY:2022-09-28;8000;BH;QZY;13-20;Butà;;ago-24;8/10/22;16/11/22;BH6;2;761478;761480;;;0,7;0,2;1,7;0;177,9;7614-2;;;;
34;HKY:2022-09-05;8000;BH;HKY;13-20;Butà;;ago-24;8/10/22;16/11/22;BH6;2;761509;761510;;;1,45;0,16;1,7;0;181,29;7615-1;;;;
35;QZY:2022-09-26;4000;BH;QZY;13-20;Butà;;ago-24;8/10/22;16/11/22;BH6;2;761541;761542;;;0,96;0,21;1,7;0;184,52;7615-2;;;;
36;QZY:2022-09-22;4000;BH;QZY;13-20;Butà;;ago-24;8/10/22;16/11/22;BH6;2;761577;761580;;;1,27;0,32;1,7;0;180,7;7615-3;;;;
37;QZY:2022-09-24;8000;BH;QZY;13-20;Butà;;ago-24;8/10/22;18/11/22;BH6;2;761603;761604;;;0,96;0,22;1,7;0;173,5;7616-1;;;;
38;QZY:2022-09-30;8000;BH;QZY;13-20;Butà;;ago-24;8/10/22;18/11/22;BH6;2;761649;761650;;;1,5;0,3;1,7;0;174,27;7616-2;;;;
8;HKY:2022-09-06;8000;BH;HKY;13-20;Butà;;ago-24;8/10/22;18/11/22;BH6;2;761701;761703;;;0,5;0,15;1,7;0;177,36;7617-1;;;;
9;QZY:2022-09-33;4000;BH;QZY;13-20;Butà;;ago-24;8/10/22;18/11/22;BH6;2;761741;761744;;;1,18;0,32;1,7;0;176,61;7617-2;;;;
39;QZY:2022-09-34;4000;BH;QZY;13-20;Butà;;ago-24;8/10/22;18/11/22;BH6;2;761779;761780;;;0,4;0,14;1,7;0;172,19;7617-3;;;;
41;HKY:2022-10-10;8000;BH;HKY;13-20;Butà;;sept-24;20/10/22;13/12/22;BH7;2;762901;762904;;;0,37;0,14;1,7;0;163,42;7629-1;167,07;82,49;4,91;7,11
10;HKY:2022-10-11;8000;BH;HKY;13-20;Butà;;sept-24;20/10/22;13/12/22;BH7;2;762977;762980;;;0,6;0,17;1,7;0;162,83;7629-2;169,83;84,29;4,67;5,98
11;QZY:2022-10-08;8000;BH;QZY;13-20;Butà;;sept-24;20/10/22;13/12/22;BH7;2;763001;763003;;;0,4;0,14;1,7;0;179,15;7630-1;;;;
